Code,No. of faecal pellets,Treatment,Replicate,Date,Day,Individual
4J,2,2X Diluted,10,17/11/2019,13,40
1A,3,Control,1,18/11/2019,14,1
1B,6,Control,2,18/11/2019,14,2
1C,7,Control,3,18/11/2019,14,3
1D,3,Control,4,18/11/2019,14,4
1E,5,Control,5,18/11/2019,14,5
1F,3,Control,6,18/11/2019,14,6
1G,4,Control,7,18/11/2019,14,7
1H,2,Control,8,18/11/2019,14,8
1I,2,Control,9,18/11/2019,14,9
1J,3,Control,10,18/11/2019,14,10
2A,1,Sterile,1,18/11/2019,14,11
2B,2,Sterile,2,18/11/2019,14,12
2C,0,Sterile,3,18/11/2019,14,13
2D,0,Sterile,4,18/11/2019,14,14
2E,0,Sterile,5,18/11/2019,14,15
2F,0,Sterile,6,18/11/2019,14,16
2G,1,Sterile,7,18/11/2019,14,17
2H,0,Sterile,8,18/11/2019,14,18
2I,NA,Sterile,9,18/11/2019,14,19
2J,0,Sterile,10,18/11/2019,14,20
3A,NA,Undiluted,1,18/11/2019,14,21
3B,0,Undiluted,2,18/11/2019,14,22
3C,3,Undiluted,3,18/11/2019,14,23
3D,1,Undiluted,4,18/11/2019,14,24
3E,0,Undiluted,5,18/11/2019,14,25
3F,0,Undiluted,6,18/11/2019,14,26
3G,0,Undiluted,7,18/11/2019,14,27
3H,1,Undiluted,8,18/11/2019,14,28
3I,0,Undiluted,9,18/11/2019,14,29
3J,0,Undiluted,10,18/11/2019,14,30
4A,0,2X Diluted,1,18/11/2019,14,31
4B,1,2X Diluted,2,18/11/2019,14,32
4C,0,2X Diluted,3,18/11/2019,14,33
4D,0,2X Diluted,4,18/11/2019,14,34
4E,1,2X Diluted,5,18/11/2019,14,35
4F,1,2X Diluted,6,18/11/2019,14,36
4G,0,2X Diluted,7,18/11/2019,14,37
4H,0,2X Diluted,8,18/11/2019,14,38
4I,0,2X Diluted,9,18/11/2019,14,39
4J,0,2X Diluted,10,18/11/2019,14,40
1A,4,Control,1,19/11/2019,15,1
1B,3,Control,2,19/11/2019,15,2
1C,6,Control,3,19/11/2019,15,3
1D,4,Control,4,19/11/2019,15,4
1E,3,Control,5,19/11/2019,15,5
1F,2,Control,6,19/11/2019,15,6
1G,5,Control,7,19/11/2019,15,7
1H,3,Control,8,19/11/2019,15,8
1I,4,Control,9,19/11/2019,15,9
1J,2,Control,10,19/11/2019,15,10
2A,1,Sterile,1,19/11/2019,15,11
2B,0,Sterile,2,19/11/2019,15,12
2C,1,Sterile,3,19/11/2019,15,13
2D,1,Sterile,4,19/11/2019,15,14
2E,1,Sterile,5,19/11/2019,15,15
2F,1,Sterile,6,19/11/2019,15,16
2G,0,Sterile,7,19/11/2019,15,17
2H,0,Sterile,8,19/11/2019,15,18
2I,NA,Sterile,9,19/11/2019,15,19
2J,1,Sterile,10,19/11/2019,15,20
3A,NA,Undiluted,1,19/11/2019,15,21
3B,0,Undiluted,2,19/11/2019,15,22
3C,1,Undiluted,3,19/11/2019,15,23
3D,0,Undiluted,4,19/11/2019,15,24
3E,1,Undiluted,5,19/11/2019,15,25
3F,0,Undiluted,6,19/11/2019,15,26
3G,1,Undiluted,7,19/11/2019,15,27
3H,0,Undiluted,8,19/11/2019,15,28
3I,0,Undiluted,9,19/11/2019,15,29
3J,0,Undiluted,10,19/11/2019,15,30
4A,0,2X Diluted,1,19/11/2019,15,31
4B,0,2X Diluted,2,19/11/2019,15,32
4C,0,2X Diluted,3,19/11/2019,15,33
4D,2,2X Diluted,4,19/11/2019,15,34
4E,1,2X Diluted,5,19/11/2019,15,35
