ASV	Kingdom	Phylum	Class	Order	Family	Genus
Seq_5323	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group
Seq_5324	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
Seq_5325	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia
Seq_5326	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Unclassified
Seq_5328	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
Seq_5329	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Termite planctomycete cluster
Seq_5330	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Seq_5331	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Pseudactinotalea
Seq_5332	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	IMCC26207
Seq_5334	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
Seq_5336	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group
Seq_5342	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] ventriosum group
Seq_5343	Bacteria	Bacillota	Clostridia	Oscillospirales	Hydrogenoanaerobacterium	Unclassified
Seq_5344	Bacteria	Bacillota	Clostridia	Clostridia vadinBB60 group	Unclassified	Unclassified
Seq_5345	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group
Seq_5348	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Unclassified	Unclassified
Seq_5349	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium
Seq_5351	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Unclassified
Seq_5352	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Demequinaceae	Demequina
Seq_5353	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
Seq_5354	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia
Seq_5358	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Unclassified
Seq_5359	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Termite planctomycete cluster
Seq_5360	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga
Seq_5364	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Unclassified
Seq_5370	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Unclassified
Seq_5371	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
Seq_5372	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus
Seq_5373	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
Seq_5376	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
