ASV	Kingdom	Phylum	Class	Order	Family	Genus
Seq_12521	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
Seq_12522	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria
Seq_12523	Bacteria	Firmicutes	Clostridia	Unclassified	Unclassified	Unclassified
Seq_12524	Bacteria	Firmicutes	Unclassified	Unclassified	Unclassified	Unclassified
Seq_12525	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Unclassified
Seq_12526	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas
Seq_12527	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Seq_12528	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ethanoligenenaceae	Acetanaerobacterium
Seq_12529	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Unclassified	Unclassified
Seq_12530	Bacteria	Firmicutes	Clostridia	Unclassified	Unclassified	Unclassified
Seq_12531	Bacteria	Firmicutes	Bacilli	Unclassified	Unclassified	Unclassified
Seq_12532	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia
Seq_12533	Bacteria	Firmicutes	Clostridia	Unclassified	Unclassified	Unclassified
Seq_12534	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
Seq_12535	Bacteria	Firmicutes	Clostridia	Unclassified	Unclassified	Unclassified
Seq_12536	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
Seq_12537	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage
Seq_12538	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Papillibacter
Seq_12539	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis
Seq_12540	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	Unclassified	Unclassified
Seq_12541	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Unclassified	Unclassified
Seq_12542	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	Unclassified	Unclassified
Seq_12543	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Unclassified
Seq_12544	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Unclassified
Seq_12545	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	SH-PL14
Seq_12546	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
Seq_12547	Bacteria	Firmicutes	Clostridia	Unclassified	Unclassified	Unclassified
Seq_12548	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group
Seq_12549	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
Seq_12550	Bacteria	Firmicutes	Clostridia	Unclassified	Unclassified	Unclassified
Seq_12551	Bacteria	Firmicutes	Clostridia	Unclassified	Unclassified	Unclassified
Seq_12552	Bacteria	Proteobacteria	Alphaproteobacteria	Unclassified	Unclassified	Unclassified
Seq_12553	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
Seq_12554	Bacteria	Firmicutes	Clostridia	Unclassified	Unclassified	Unclassified
